"location","population","highestinfectioncount","percentpopulationinfected"
"Cyprus",896007,655664,73.17621402511364308500
"San Marino",33690,23849,70.78955179578509943600
"Austria",8939617,6037996,67.54199872321152013600
"Faeroe Islands",53117,34658,65.24841387879586573000
"Slovenia",2119843,1341187,63.26822316558348896600
"Brunei",449002,283345,63.10550955229598086400
"Gibraltar",32677,20462,62.61896746947394191600
"Martinique",367512,229479,62.44122640893358584200
"Andorra",79843,47930,60.03030948235912979200
"Jersey",110796,66391,59.92183833351384526500
"South Korea",51815808,30844726,59.52763681693432243700
"Saint Pierre and Miquelon",5885,3426,58.21580288870008496200
"Denmark",5882259,3409028,57.95440153179246272600
"Greece",10384972,5965643,57.44495989011814379500
"France",67813000,38735658,57.12128647899370327200
"Iceland",372903,209191,56.09796649530843141500
"Guernsey",63329,35235,55.63801733802839141600
"Liechtenstein",39355,21460,54.52928471604624571200
"Portugal",10270857,5576583,54.29520632990995785500
"Latvia",1850654,976989,52.79155368858792621400
"Guadeloupe",395762,202163,51.08196340224680489800
"Israel",9449000,4815175,50.95962535718065403700
"Reunion",974062,494595,50.77654194496859542800
"Falkland Islands",3801,1923,50.59194948697711128700
"Switzerland",8740471,4399085,50.33006802493824417500
"Saint Barthelemy",10994,5478,49.82717846097871566300
"Luxembourg",647601,319959,49.40681067509160733200
"Netherlands",17564020,8609661,49.01873830706182297700
"Georgia",3744385,1833502,48.96670614800561373900
"Lithuania",2750058,1315042,47.81870055104292345800
"Seychelles",107135,50937,47.54468661035142577100
"Bahrain",1472237,696614,47.31670240593056688600
"Estonia",1326064,616862,46.51826759492754497500
"Montenegro",627082,289292,46.13304161178282904000
"Germany",83369840,38359611,46.01137653616703594500
"Cayman Islands",68722,31472,45.79610605046418905200
"Isle of Man",84534,38008,44.96179052215676532500
"Monaco",36491,16178,44.33421939656353621400
"Czechia",10493990,4634883,44.16702321995732795600
"Bonaire Sint Eustatius and Saba",27052,11885,43.93390507171373650700
"Italy",59037472,25695311,43.52373184271846870400
"New Zealand",5185289,2217047,42.75647895421065248200
"Nauru",12691,5393,42.49468127019147427300
"Australia",26177410,11101234,42.40768662751586195900
"Aruba",106459,44114,41.43754872767920044300
"Cook Islands",17032,7042,41.34570220760920620000
"Belgium",11655923,4776837,40.98205693362936594600
"European Union",450146793,183330398,40.72680308976454265200
"Singapore",5637022,2270279,40.27443923404946796400
"Saint Helena",5401,2166,40.10368450286983891900
"Saint Martin (French part)",31816,12280,38.59693236107618808100
"Marshall Islands",41593,16013,38.49926670353184430100
"Niue",1952,747,38.26844262295081967200
"Barbados",281646,107332,38.10883165392016929100
"Serbia",6871547,2520204,36.67593338152238498800
"United Kingdom",67508936,24311933,36.01291094263432029200
"Maldives",523798,185810,35.47359860098740354100
"Puerto Rico",3252412,1108427,34.08015343689544867000
"Ireland",5023108,1707466,33.99222154888965158600
"High income",1250514600,418585621,33.47306948675369324000
"Europe",744807803,247953265,33.29090592247729176900
"Palau",18084,5997,33.16191108161911081600
"Slovakia",5643455,1865584,33.05747985941236352600
"French Guiana",304568,98041,32.19018412965249139800
"Montserrat",4413,1403,31.79243145252662587800
"Croatia",4030361,1270891,31.53293216165996048500
"Oceania",45038860,13807604,30.65709034376092112500
"United States",338289856,102873924,30.40999373034703115700
"Uruguay",3422796,1036159,30.27229785239903283700
"Guam",171783,51006,29.69211155935104172100
"Mongolia",3398373,1007915,29.65875140839454644900
"Wallis and Futuna",11596,3427,29.55329423939289410100
